Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,AM,Gears
Kia,Rio 4dr manual,Sedan,Asia,Front," 12,85,000 "," 12,34,375 ", 1.60 , 4 , 104 , 26 , 33 ," 2,403 ", 95 , 167 ,0, 4 
Hyundai,Accent 2dr hatch,Sedan,Asia,Front," 13,17,375 "," 12,63,375 ", 1.60 , 4 , 103 , 29 , 33 ," 2,255 ", 96 , 167 ,0, 4 
Toyota,Echo 2dr manual,Sedan,Asia,Front," 13,45,000 "," 12,68,000 ", 1.50 , 4 , 108 , 35 , 43 ," 2,035 ", 93 , 163 ,0, 4 
Saturn,Ion1 4dr,Sedan,USA,Front," 13,74,375 "," 12,89,875 ", 2.20 , 4 , 140 , 26 , 35 ," 2,692 ", 103 , 185 ,0, 4 
Toyota,Echo 4dr,Sedan,Asia,Front," 14,11,250 "," 13,30,250 ", 1.50 , 4 , 108 , 35 , 43 ," 2,055 ", 93 , 163 ,0, 4 
Kia,Rio 4dr auto,Sedan,Asia,Front," 13,94,375 "," 13,38,125 ", 1.60 , 4 , 104 , 25 , 32 ," 2,458 ", 95 , 167 ,0, 4 
Toyota,Echo 2dr auto,Sedan,Asia,Front," 14,45,000 "," 13,62,000 ", 1.50 , 4 , 108 , 33 , 39 ," 2,085 ", 93 , 163 ,0, 4 
Chevrolet,Aveo 4dr,Sedan,USA,Front," 14,61,250 "," 13,70,625 ", 1.60 , 4 , 103 , 28 , 34 ," 2,370 ", 98 , 167 ,0, 4 
Hyundai,Accent GL 4dr,Sedan,Asia,Front," 14,79,875 "," 13,89,500 ", 1.60 , 4 , 103 , 29 , 33 ," 2,290 ", 96 , 167 ,0, 4 
Hyundai,Accent GT 2dr hatch,Sedan,Asia,Front," 14,92,375 "," 14,01,125 ", 1.60 , 4 , 103 , 29 , 33 ," 2,339 ", 96 , 167 ,0, 4 
Kia,Rio Cinco,Wagon,Asia,Front," 14,88,125 "," 14,26,250 ", 1.60 , 4 , 104 , 26 , 33 ," 2,447 ", 95 , 167 ,0, 4 
Kia,Spectra 4dr,Sedan,Asia,Front," 15,45,000 "," 14,53,750 ", 1.80 , 4 , 124 , 24 , 32 ," 2,661 ", 101 , 178 ,0, 4 
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front," 15,73,125 "," 14,75,250 ", 1.60 , 4 , 103 , 28 , 34 ," 2,348 ", 98 , 153 ,0, 4 
Toyota,Tacoma,Truck,Asia,Rear," 16,00,000 "," 14,84,875 ", 2.40 , 4 , 142 , 22 , 27 ," 2,750 ", 103 , 191 ,0, 4 
Suzuki,Forenza S 4dr,Sedan,Asia,Front," 15,33,625 "," 15,14,500 ", 2.00 , 4 , 119 , 24 , 31 ," 2,701 ", 102 , 177 ,0, 4 
Honda,Civic DX 2dr,Sedan,Asia,Front," 16,58,750 "," 15,21,875 ", 1.70 , 4 , 115 , 32 , 38 ," 2,432 ", 103 , 175 ,0, 4 
Nissan,Sentra 1.8 4dr,Sedan,Asia,Front," 15,92,500 "," 15,25,625 ", 1.80 , 4 , 126 , 28 , 35 ," 2,513 ", 100 , 178 ,0, 4 
Scion,xA 4dr hatch,Sedan,Asia,Front," 16,20,625 "," 15,42,500 ", 1.50 , 4 , 108 , 32 , 38 ," 2,340 ", 93 , 154 ,0, 4 
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front," 16,58,750 "," 15,60,250 ", 2.00 , 4 , 130 , 26 , 33 ," 2,612 ", 103 , 168 ,0, 4 
Suzuki,Aeno S 4dr,Sedan,Asia,Front," 16,10,500 "," 15,89,875 ", 2.30 , 4 , 155 , 25 , 31 ," 2,676 ", 98 , 171 ,0, 4 
Hyundai,Elantra GLS 4dr,Sedan,Asia,Front," 17,29,875 "," 15,97,625 ", 2.00 , 4 , 138 , 26 , 34 ," 2,635 ", 103 , 178 ,0, 4 
Kia,Spectra GS 4dr hatch,Sedan,Asia,Front," 16,97,500 "," 16,03,750 ", 1.80 , 4 , 124 , 24 , 32 ," 2,686 ", 101 , 178 ,0, 4 
Dodge,Neon SE 4dr,Sedan,USA,Front," 17,08,750 "," 16,06,125 ", 2.00 , 4 , 132 , 29 , 36 ," 2,581 ", 105 , 174 ,0, 4 
Ford,Focus LX 4dr,Sedan,USA,Front," 17,16,250 "," 16,13,250 ", 2.00 , 4 , 110 , 27 , 36 ," 2,606 ", 103 , 168 ,0, 4 
Honda,Civic HX 2dr,Sedan,Asia,Front," 17,71,250 "," 16,24,500 ", 1.70 , 4 , 117 , 36 , 44 ," 2,500 ", 103 , 175 ,0, 4 
Toyota,Corolla CE 4dr,Sedan,Asia,Front," 17,60,625 "," 16,33,125 ", 1.80 , 4 , 130 , 32 , 40 ," 2,502 ", 102 , 178 ,0, 4 
Saturn,lon2 4dr,Sedan,USA,Front," 17,87,500 "," 16,74,125 ", 2.20 , 4 , 140 , 26 , 35 ," 2,692 ", 103 , 185 ,0, 4 
Scion,xB,Wagon,Asia,Front," 17,70,625 "," 16,85,000 ", 1.50 , 4 , 108 , 31 , 35 ," 2,425 ", 98 , 155 ,0, 4 
Toyota,Corolla S 4dr,Sedan,Asia,Front," 18,78,750 "," 17,06,250 ", 1.80 , 4 , 130 , 32 , 40 ," 2,524 ", 102 , 178 ,0, 4 
Chevrolet,Cavalier 2dr,Sedan,USA,Front," 18,26,250 "," 17,12,125 ", 2.20 , 4 , 140 , 26 , 37 ," 2,617 ", 104 , 183 ,0, 4 
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear," 17,98,125 "," 17,14,625 ", 2.30 , 4 , 143 , 24 , 29 ," 3,028 ", 111 , 188 ,0, 4 
Nissan,Sentra 1.8 S 4dr,Sedan,Asia,Front," 18,42,500 "," 17,18,375 ", 1.80 , 4 , 126 , 28 , 35 ," 2,581 ", 100 , 178 ,0, 4 
