Item Description,Jul-2015,Aug-2015,Sep-2015,Oct-2015
Basic Goods,5.15970516,5.137614679,6.223818073,2.63803681
Basic metals,6.812879141,10.89866157,9.526044111,7.349454718
Capital Goods,10.56231003,-3.620243812,2.192982456,5.531914894
Consumer Durables,11.36260751,15.99811232,-3.920822231,1.292090838
Consumer Goods,1.284296556,6.590772918,-2.134646962,2.754820937
Consumer Non-durables,-4.614370468,1.342281879,-0.860927152,3.745072273
Electrical Machinery,20.93232541,-10.01655629,2.882681564,13.14297286
Electricity,3.536452666,1.321585903,6.03588907,-0.505334082
General Index,4.219653179,3.779069767,2.509982886,3.011001737
Intermediate Goods,1.544401544,0.793650794,1.286173633,2.338009352
Manufacturing,4.665203074,4.608550805,2.016348774,3.914002205
Mining & Quarrying,1.290877797,-0.327600328,2.314445331,-0.57096248
Motor Vehicles,7.929515419,8.59375,4.213864975,6.773455378
Publishing & Printing ,-9.465478842,-11.41552511,-9.230769231,6.088992974
Rubber & Plastics Products,-4.253112033,0.104275287,1.469098278,5.604395604
Textiles,-0.584415584,1.12657389,-1.556420233,4.663557628
Tobacco Products,-2.049622438,8.679245283,-7.717303006,-25.79650565
Wearing Apparel,21.72260925,27.58846658,15.78014184,9.92529349
Wood & Products Of Wood,10.43307087,20.97378277,10.35182679,6.258890469
