RecDate,Mkt,Series,Sector,Symbol,NameOfTheSecurityInNse,PrevClose,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeValue,TradeQty,IndSec,CoprInd,Trades,52W_High,52W_Low
12/1/2014,N,EQ,Cement,ACC,ACC LIMITED,1475.35,1476,1479.7,1461.15,1470.95,202553783.5,137735,Y, ,6422,1564.65,970.15
12/1/2014,N,EQ,Cement,AMBUJACEM,AMBUJA CEMENTS LTD,229.9,229.25,233.5,228.55,230.35,348745207,1512068,Y, ,19712,243.8,150.1
12/1/2014,N,EQ,FMCG,ASIANPAINT,ASIAN PAINTS LIMITED,744.7,753.95,802.2,753.1,797.05,2576774020,3291847,Y, ,68366,802.2,460.2
12/1/2014,N,EQ,FinSrvc,AXISBANK,AXIS BANK LIMITED,481.2,484.4,493.2,481.15,489.15,2267475272,4634567,Y, ,53177,2043.05,369.05
12/1/2014,N,EQ,Auto,BAJAJ-AUTO,BAJAJ AUTO LIMITED,2640.8,2642.5,2660.8,2613.05,2636.3,527142941,199683,Y, ,10121,2695,1793.2
12/1/2014,N,EQ,FinSrvc,BANKBARODA,BANK OF BARODA,1087.2,1091,1104.7,1074.35,1082.65,1447645708,1328730,Y, ,29489,1104.7,511.15
12/1/2014,N,EQ,Telecom,BHARTIARTL,BHARTI AIRTEL LIMITED,382.3,384.75,385.5,376.1,377.8,1091226660,2862826,Y, ,67620,420,281.9
12/1/2014,N,EQ,CapGoods,BHEL,BHEL,283.8,281.75,282.95,273,274.2,711917929.6,2566198,Y, ,27622,291.5,145.55
12/1/2014,N,EQ,Petro,BPCL,BHARAT PETROLEUM CORP  LT,746.25,760,761.5,738.65,744.35,2408620737,3224744,Y, ,68179,785,316.05
12/1/2014,N,EQ,Petro,CAIRN,CAIRN INDIA LIMITED,260.45,258,261.75,255,256.55,1565291853,6090509,Y, ,42004,386,255
12/1/2014,N,EQ,Pharma,CIPLA,CIPLA LTD,635.15,636.85,649.55,629.4,643.05,1293732882,2014699,Y, ,67188,673,366.5
12/1/2014,N,EQ,Metals,COALINDIA,COAL INDIA LTD,355,355,355.3,350.95,353.8,1309643408,3707445,Y, ,36815,423.7,240.3
