RefID,OrderID,OrderDate,CompanyName,ContactName,City,Country,ProductName,CategoryName,QuantityPerUnit,SalePrice,Quantity,SaleDiscount,CostPrice
100001,10248,04-Apr-2013,Wilman Kala,Matti Karttunen,Helsinki,Finland,Queso Cabrales,Dairy Products,1 kg pkg.,14.00,12,0.00, 21.00 
100002,10248,04-Apr-2013,Wilman Kala,Matti Karttunen,Helsinki,Finland,Singaporean Hokkien Fried Mee,Grains/Cereals,32 - 1 kg pkgs.,9.80,10,0.00, 14.00 
100003,10248,04-Apr-2013,Wilman Kala,Matti Karttunen,Helsinki,Finland,Mozzarella di Giovanni,Dairy Products,24 - 200 g pkgs.,34.80,5,0.00, 34.80 
100004,10249,05-Apr-2013,Tradição Hipermercados,Anabela Domingues,São Paulo,Brazil,Tofu,Produce,40 - 100 g pkgs.,18.60,9,0.00, 23.25 
100005,10249,05-Apr-2013,Tradição Hipermercados,Anabela Domingues,São Paulo,Brazil,Manjimup Dried Apples,Produce,50 - 300 g pkgs.,42.40,40,0.00, 53.00 
100006,10250,08-Apr-2013,Hanari Carnes,Mario Pontes,Rio de Janeiro,Brazil,Jack's New England Clam Chowder,Seafood,12 - 12 oz cans,7.70,10,0.00, 9.65 
100007,10250,08-Apr-2013,Hanari Carnes,Mario Pontes,Rio de Janeiro,Brazil,Manjimup Dried Apples,Produce,50 - 300 g pkgs.,42.40,35,0.15, 53.00 
100008,10250,08-Apr-2013,Hanari Carnes,Mario Pontes,Rio de Janeiro,Brazil,Louisiana Fiery Hot Pepper Sauce,Condiments,32 - 8 oz bottles,16.80,15,0.15, 21.05 
100009,10251,08-Apr-2013,Victuailles en stock,Mary Saveley,Lyon,France,Gustaf's Knäckebröd,Grains/Cereals,24 - 500 g pkgs.,16.80,6,0.05, 21.00 
100010,10251,08-Apr-2013,Victuailles en stock,Mary Saveley,Lyon,France,Ravioli Angelo,Grains/Cereals,24 - 250 g pkgs.,15.60,15,0.05, 19.50 
100011,10251,08-Apr-2013,Victuailles en stock,Mary Saveley,Lyon,France,Louisiana Fiery Hot Pepper Sauce,Condiments,32 - 8 oz bottles,16.80,20,0.00, 21.05 
100012,10252,09-Apr-2013,Suprêmes délices,Pascale Cartrain,Charleroi,Belgium,Sir Rodney's Marmalade,Confections,30 gift boxes,64.80,40,0.05, 81.00 
100013,10252,09-Apr-2013,Suprêmes délices,Pascale Cartrain,Charleroi,Belgium,Geitost,Dairy Products,500 g,2.00,25,0.05, 2.50 
100014,10252,09-Apr-2013,Suprêmes délices,Pascale Cartrain,Charleroi,Belgium,Camembert Pierrot,Dairy Products,15 - 300 g rounds,27.20,40,0.00, 34.00 
100015,10253,10-Apr-2013,Hanari Carnes,Mario Pontes,Rio de Janeiro,Brazil,Gorgonzola Telino,Dairy Products,12 - 100 g pkgs,10.00,20,0.00, 12.50 
100016,10253,10-Apr-2013,Hanari Carnes,Mario Pontes,Rio de Janeiro,Brazil,Chartreuse verte,Beverages,750 cc per bottle,14.40,42,0.00, 18.00 
100017,10253,10-Apr-2013,Hanari Carnes,Mario Pontes,Rio de Janeiro,Brazil,Maxilaku,Confections,24 - 50 g pkgs.,16.00,40,0.00, 20.00 
100018,10254,11-Apr-2013,Chop-suey Chinese,Yang Wang,Bern,Switzerland,Guaraná Fantástica,Beverages,12 - 355 ml cans,3.60,15,0.15, 4.50 
