Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,AM,Gears
Kia,Rio 4dr manual,Sedan,Asia,Front,1285000,1234375,1.6,4,104,26,33,2403,95,167,0,4
Hyundai,Accent 2dr hatch,Sedan,Asia,Front,1317375,1263375,1.6,4,103,29,33,2255,96,167,0,4
Toyota,Echo 2dr manual,Sedan,Asia,Front,1345000,1268000,1.5,4,108,35,43,2035,93,163,0,4
Saturn,Ion1 4dr,Sedan,USA,Front,1374375,1289875,2.2,4,140,26,35,2692,103,185,0,4
Toyota,Echo 4dr,Sedan,Asia,Front,1411250,1330250,1.5,4,108,35,43,2055,93,163,0,4
Kia,Rio 4dr auto,Sedan,Asia,Front,1394375,1338125,1.6,4,104,25,32,2458,95,167,0,4
Toyota,Echo 2dr auto,Sedan,Asia,Front,1445000,1362000,1.5,4,108,33,39,2085,93,163,0,4
Chevrolet,Aveo 4dr,Sedan,USA,Front,1461250,1370625,1.6,4,103,28,34,2370,98,167,0,4
Hyundai,Accent GL 4dr,Sedan,Asia,Front,1479875,1389500,1.6,4,103,29,33,2290,96,167,0,4
Hyundai,Accent GT 2dr hatch,Sedan,Asia,Front,1492375,1401125,1.6,4,103,29,33,2339,96,167,0,4
Kia,Rio Cinco,Wagon,Asia,Front,1488125,1426250,1.6,4,104,26,33,2447,95,167,0,4
Kia,Spectra 4dr,Sedan,Asia,Front,1545000,1453750,1.8,4,124,24,32,2661,101,178,0,4
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,1573125,1475250,1.6,4,103,28,34,2348,98,153,0,4
Toyota,Tacoma,Truck,Asia,Rear,1600000,1484875,2.4,4,142,22,27,2750,103,191,0,4
Suzuki,Forenza S 4dr,Sedan,Asia,Front,1533625,1514500,2,4,119,24,31,2701,102,177,0,4
Honda,Civic DX 2dr,Sedan,Asia,Front,1658750,1521875,1.7,4,115,32,38,2432,103,175,0,4
Nissan,Sentra 1.8 4dr,Sedan,Asia,Front,1592500,1525625,1.8,4,126,28,35,2513,100,178,0,4
Scion,xA 4dr hatch,Sedan,Asia,Front,1620625,1542500,1.5,4,108,32,38,2340,93,154,0,4
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,1658750,1560250,2,4,130,26,33,2612,103,168,0,4
Suzuki,Aeno S 4dr,Sedan,Asia,Front,1610500,1589875,2.3,4,155,25,31,2676,98,171,0,4
Hyundai,Elantra GLS 4dr,Sedan,Asia,Front,1729875,1597625,2,4,138,26,34,2635,103,178,0,4
Kia,Spectra GS 4dr hatch,Sedan,Asia,Front,1697500,1603750,1.8,4,124,24,32,2686,101,178,0,4
Dodge,Neon SE 4dr,Sedan,USA,Front,1708750,1606125,2,4,132,29,36,2581,105,174,0,4
Ford,Focus LX 4dr,Sedan,USA,Front,1716250,1613250,2,4,110,27,36,2606,103,168,0,4
Honda,Civic HX 2dr,Sedan,Asia,Front,1771250,1624500,1.7,4,117,36,44,2500,103,175,0,4
Toyota,Corolla CE 4dr,Sedan,Asia,Front,1760625,1633125,1.8,4,130,32,40,2502,102,178,0,4
Saturn,lon2 4dr,Sedan,USA,Front,1787500,1674125,2.2,4,140,26,35,2692,103,185,0,4
Scion,xB,Wagon,Asia,Front,1770625,1685000,1.5,4,108,31,35,2425,98,155,0,4
Toyota,Corolla S 4dr,Sedan,Asia,Front,1878750,1706250,1.8,4,130,32,40,2524,102,178,0,4
Chevrolet,Cavalier 2dr,Sedan,USA,Front,1826250,1712125,2.2,4,140,26,37,2617,104,183,0,4
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,1798125,1714625,2.3,4,143,24,29,3028,111,188,0,4
Nissan,Sentra 1.8 S 4dr,Sedan,Asia,Front,1842500,1718375,1.8,4,126,28,35,2581,100,178,0,4
Mitsubishi,Lancer ES 4dr,Sedan,Asia,Front,1827750,1718875,2,4,120,25,31,2656,102,181,0,4
Kia,Spectra GSX 4dr hatch,Sedan,Asia,Front,1828750,1723750,1.8,4,124,24,32,2697,101,178,0,4
Chevrolet,Cavalier 4dr,Sedan,USA,Front,1851250,1735500,2.2,4,140,26,37,2676,104,183,0,4
Toyota,Corolla LE 4dr,Sedan,Asia,Front,1911875,1736125,1.8,4,130,32,40,2524,102,178,0,4
Saturn,lon2 quad coupe 2dr,Sedan,USA,Front,1856250,1738000,2.2,4,140,26,35,2751,103,185,0,4
Mazda,B2300 SX Regular Cab,Truck,Asia,Rear,1855000,1758750,2.3,4,143,24,29,2960,112,188,0,4
Dodge,Neon SXT 4dr,Sedan,USA,Front,1880000,1760750,2,4,132,29,36,2626,105,174,0,4
Hyundai,Elantra GT 4dr,Sedan,Asia,Front,1923625,1775875,2,4,138,26,34,2635,103,178,0,4
Hyundai,Elantra GT 4dr hatch,Sedan,Asia,Front,1923625,1775875,2,4,138,26,34,2698,103,178,0,4
Suzuki,Aerio LX 4dr,Sedan,Asia,Front,1812500,1789625,2.3,4,155,25,31,2676,98,171,0,4
Pontiac,Sunfire 1SA 2dr,Sedan,USA,Front,1936875,1796875,2.2,4,140,24,33,2771,104,182,0,4
Ford,Focus SE 4dr,Sedan,USA,Front,1932500,1812000,2,4,130,26,33,2606,103,168,0,4
