Date,Ozone,Solar,Wind,Temp,PM25,PM10,Index
01-05-2019,41,190,7.4,67,159,125,2
02-05-2019,36,118,8,72,55,63,2
03-05-2019,12,149,12.6,74,36,116,9
04-05-2019,18,313,11.5,62,120,128,9
05-05-2019,,,14.3,56,134,119,1
06-05-2019,28,,14.9,66,84,114,3
07-05-2019,23,299,8.6,65,195,118,6
08-05-2019,19,99,,59,,,
09-05-2019,8,19,20.1,61,,,
10-05-2019,,194,8.6,69,132,91,7
11-05-2019,7,,6.9,,134,115,3
12-05-2019,16,256,9.7,69,123,63,5
13-05-2019,11,290,9.2,66,200,139,1
14-05-2019,14,274,10.9,68,147,70,5
15-05-2019,18,65,13.2,58,160,102,9
16-05-2019,14,334,11.5,64,18,93,1
17-05-2019,34,307,,,95,141,4
18-05-2019,6,78,18.4,57,22,55,5
19-05-2019,30,322,11.5,68,6,106,6
20-05-2019,11,44,9.7,62,163,109,3
21-05-2019,1,8,9.7,59,41,92,5
22-05-2019,11,320,16.6,73,141,82,1
23-05-2019,4,25,9.7,61,21,87,2
24-05-2019,32,92,12,61,3,58,8
25-05-2019,,66,16.6,57,185,79,9
26-05-2019,,266,14.9,58,55,131,5
27-05-2019,,,8,57,147,120,8
28-05-2019,23,13,12,67,175,59,8
29-05-2019,45,252,14.9,81,115,139,7
30-05-2019,115,223,5.7,79,188,87,2
31-05-2019,37,279,7.4,76,98,92,3
01-06-2019,,286,8.6,78,30,52,9
02-06-2019,,287,9.7,74,69,55,5
03-06-2019,,242,16.1,67,191,103,2
04-06-2019,,186,9.2,84,76,136,1
05-06-2019,,220,8.6,85,161,108,7
06-06-2019,,264,14.3,79,152,107,9
07-06-2019,29,127,9.7,82,198,113,3
08-06-2019,,273,6.9,87,170,69,4
09-06-2019,71,291,13.8,90,144,82,3
10-06-2019,39,323,11.5,87,146,56,6
11-06-2019,,259,,93,23,52,6
12-06-2019,,250,9.2,92,127,112,9
13-06-2019,23,148,8,82,199,135,6
14-06-2019,,332,13.8,80,131,105,7
15-06-2019,,322,11.5,79,58,83,9
16-06-2019,21,191,14.9,77,8,145,8
17-06-2019,37,284,20.7,72,69,96,9
18-06-2019,20,37,9.2,65,,,
19-06-2019,12,120,11.5,73,,,
20-06-2019,13,137,10.3,76,102,81,3
21-06-2019,,150,6.3,77,136,119,9
22-06-2019,,59,1.7,,185,73,6
23-06-2019,,91,4.6,76,37,128,1
24-06-2019,,250,6.3,76,70,65,1
25-06-2019,,135,,,131,79,5
26-06-2019,,127,8,78,55,86,6
27-06-2019,,47,10.3,73,120,71,3
28-06-2019,,98,11.5,80,120,113,2
29-06-2019,,31,14.9,77,28,139,5
30-06-2019,,138,8,83,136,61,2
01-07-2019,135,269,4.1,84,16,128,5
02-07-2019,49,248,9.2,85,58,139,1
03-07-2019,32,236,9.2,81,19,71,5
04-07-2019,,101,10.9,84,1,123,9
05-07-2019,64,175,4.6,83,81,92,6
06-07-2019,40,314,10.9,83,53,59,7
07-07-2019,77,276,5.1,88,77,144,2
08-07-2019,97,267,6.3,92,172,135,3
09-07-2019,97,272,5.7,92,148,87,9
10-07-2019,85,175,,,4,66,4
11-07-2019,,139,8.6,82,152,101,3
12-07-2019,10,264,14.3,73,45,97,3
13-07-2019,27,175,14.9,81,156,132,1
14-07-2019,,291,14.9,91,140,92,5
15-07-2019,7,48,14.3,80,158,68,9
16-07-2019,48,260,6.9,81,80,91,7
17-07-2019,35,274,10.3,82,131,140,9
18-07-2019,61,285,6.3,84,82,102,2
19-07-2019,79,187,5.1,87,118,140,1
20-07-2019,63,220,11.5,85,86,148,2
21-07-2019,16,7,6.9,74,66,64,5
22-07-2019,,258,9.7,81,120,138,5
23-07-2019,,295,11.5,,,,
24-07-2019,80,294,8.6,86,,,
25-07-2019,108,223,8,85,79,60,9
26-07-2019,20,81,8.6,82,103,108,7
27-07-2019,52,82,12,86,55,112,2
28-07-2019,82,213,,88,174,110,2
29-07-2019,50,275,7.4,86,94,120,4
30-07-2019,64,253,7.4,83,103,80,1
31-07-2019,59,254,9.2,81,134,105,9
01-08-2019,39,83,6.9,81,70,108,6
02-08-2019,9,24,13.8,81,145,82,2
03-08-2019,16,77,7.4,82,125,71,8
04-08-2019,78,,6.9,86,147,72,9
05-08-2019,35,,7.4,85,169,117,2
06-08-2019,66,,4.6,87,95,116,5
07-08-2019,122,255,4,89,123,113,5
08-08-2019,89,229,10.3,90,122,77,3
09-08-2019,110,207,8,90,31,65,1
10-08-2019,,222,8.6,92,178,123,4
11-08-2019,,137,11.5,86,51,114,3
12-08-2019,44,192,11.5,86,198,78,1
13-08-2019,28,273,11.5,82,65,136,6
14-08-2019,65,157,9.7,80,137,114,6
15-08-2019,,64,,,143,134,2
16-08-2019,22,71,10.3,77,95,142,4
17-08-2019,59,51,6.3,79,107,104,9
18-08-2019,23,115,7.4,76,53,80,4
19-08-2019,31,244,10.9,78,49,60,5
20-08-2019,44,190,10.3,78,61,63,4
21-08-2019,21,259,15.5,77,,,
22-08-2019,9,36,14.3,,,,
23-08-2019,,255,12.6,75,104,62,3
24-08-2019,45,212,9.7,79,64,52,8
25-08-2019,168,238,3.4,81,22,89,2
26-08-2019,73,215,8,86,146,113,2
27-08-2019,,153,5.7,88,14,121,8
28-08-2019,76,203,9.7,97,41,132,3
29-08-2019,118,225,2.3,94,55,70,9
30-08-2019,84,237,,96,18,80,3
31-08-2019,85,188,6.3,94,149,78,5
01-09-2019,96,167,6.9,91,147,133,5
02-09-2019,78,197,5.1,,89,103,7
03-09-2019,73,183,2.8,93,136,120,4
04-09-2019,91,189,4.6,93,194,125,9
05-09-2019,47,95,7.4,87,124,95,9
06-09-2019,32,92,,,117,121,2
07-09-2019,20,252,10.9,80,178,52,9
08-09-2019,23,220,10.3,78,125,134,8
09-09-2019,21,230,10.9,75,185,139,8
10-09-2019,24,259,9.7,73,92,144,2
11-09-2019,44,236,14.9,81,170,144,4
12-09-2019,21,259,15.5,76,57,64,8
13-09-2019,28,238,6.3,77,60,126,8
14-09-2019,9,24,10.9,71,39,54,8
15-09-2019,13,112,11.5,71,43,83,4
16-09-2019,46,237,6.9,78,18,101,3
17-09-2019,18,224,13.8,67,40,51,6
18-09-2019,13,27,10.3,76,86,97,9
19-09-2019,24,238,10.3,68,94,61,3
20-09-2019,16,201,8,82,67,145,1
21-09-2019,13,238,12.6,64,59,91,7
22-09-2019,23,14,9.2,71,,,
23-09-2019,36,139,10.3,81,,,
24-09-2019,7,49,10.3,69,123,139,7
25-09-2019,14,20,16.6,63,69,138,2
26-09-2019,30,193,6.9,70,101,117,9
27-09-2019,,145,13.2,77,79,71,5
28-09-2019,14,191,,75,26,114,7
29-09-2019,18,131,8,76,34,123,8
30-09-2019,20,223,11.5,68,142,122,9
