ds,y
2008-01-01,4.804021045
2008-01-02,5.379897354
2008-01-03,5.659482216
2008-01-04,5.598421959
2008-01-05,5.278114659
2008-01-06,5.313205979
2008-01-07,5.673323267
2008-01-08,5.733341277
2008-01-09,5.811140993
2008-01-10,5.880532986
2008-01-11,5.645446898
2008-01-12,5.407171771
2008-01-13,5.323009979
2008-01-14,5.953243334
2008-01-15,5.910796644
2008-01-16,6.049733455
2008-01-17,6.011267174
2008-01-18,5.958424693
2008-01-19,5.370638028
2008-01-20,5.666426688
2008-01-21,6.261491684
2008-01-22,5.942799375
2008-01-23,6.089044875
2008-01-24,5.966146739
2008-01-25,5.916202063
2008-01-26,5.407171771
2008-01-27,5.488937726
2008-01-28,5.891644212
2008-01-29,5.958424693
2008-01-30,5.976350909
2008-02-01,6.159095388
2008-02-02,5.424950017
2008-02-03,5.420534999
2008-02-04,5.916202063
2008-02-05,6.033086222
2008-02-06,6.003887067
2008-02-07,5.894402834
2008-02-08,6.001414878
2008-02-09,5.590986981
2008-02-10,5.609471795
2008-02-11,6.216606101
2008-02-12,6.09356977
2008-02-13,6.040254711
2008-02-14,6.02827852
2008-02-15,5.874930731
2008-02-16,5.613128106
2008-02-17,5.517452896
2008-02-18,6.01615716
2008-02-19,6.173786104
2008-02-20,6.11146734
2008-02-21,6.033086222
2008-02-22,5.92157842
2008-02-23,5.533389489
2008-02-24,5.799092654
2008-02-25,6.070737728
2008-02-26,6.084499413
2008-02-27,6.126869184
2008-02-29,5.976350909
2008-03-02,5.587248658
2008-03-05,6.01615716
2008-03-06,5.978885765
2008-03-07,5.932245187
2008-03-08,5.605802066
2008-03-09,5.713732806
2008-03-10,6.115892125
2008-03-11,6.182084907
2008-03-12,6.126869184
2008-03-13,6.100318952
2008-03-14,6.139884552
2008-03-15,5.673323267
2008-03-16,5.743003188
2008-03-17,6.102558595
2008-03-18,6.033086222
2008-03-19,6.210600077
2008-03-20,6.12905021
2008-03-21,5.945420609
2008-03-22,5.602118821
2008-03-23,5.568344504
2008-03-24,5.826000107
2008-03-25,6.182084907
2008-03-26,6.047372179
2008-03-27,6.104793232
2008-03-28,6.025865974
2008-03-29,5.676753802
2008-03-30,5.755742214
2008-03-31,6.263398263
2008-04-01,6.137727054
2008-04-02,6.107022888
2008-04-03,6.190315406
2008-04-04,6.042632834
2008-04-05,5.85220248
2008-04-06,5.84932478
2008-04-07,6.09356977
2008-04-08,6.232448017
2008-04-09,6.21860012
2008-04-10,6.154858094
2008-04-11,6.29156914
2008-04-12,5.690359454
2008-04-13,5.765191103
2008-04-14,6.226536669
2008-04-15,6.272877007
2008-04-16,6.280395839
2008-04-17,6.263398263
2008-04-18,6.109247583
2008-04-19,5.638354669
2008-04-20,5.669880923
2008-04-21,6.133398043
2008-04-22,6.265301213
2008-04-23,6.107022888
2008-04-24,6.182084907
2008-04-25,6.180016654
2008-04-26,5.840641657
2008-04-27,5.768320996
2008-04-28,6.324358962
2008-04-29,6.251903883
2008-04-30,6.263398263
2008-05-01,6.089044875
2008-05-02,6.173786104
2008-05-03,5.697093487
2008-05-04,5.908082938
2008-05-05,6.33150185
2008-05-06,6.535241271
2008-05-07,6.246106765
2008-05-08,6.216606101
2008-05-09,6.261491684
2008-05-10,5.998936562
2008-05-11,6.033086222
2008-05-12,6.22059017
2008-05-13,6.37331979
2008-05-14,6.308098442
2008-05-15,6.095824562
2008-05-16,5.991464547
2008-05-17,5.170483995
2008-05-18,5.017279837
2008-05-19,5.393627546
2008-05-20,5.587248658
2008-05-21,5.659482216
2008-05-22,5.365976015
2008-05-23,5.327876169
2008-05-24,4.976733742
2008-05-25,5.327876169
2008-05-26,5.192956851
2008-05-27,5.583496309
2008-05-28,5.484796933
2008-05-29,5.666426688
2008-05-30,5.774551546
2008-05-31,5.204006687
2008-06-03,5.545177444
2008-06-04,5.587248658
2008-06-05,5.666426688
2008-06-06,5.676753802
2008-06-07,5.420534999
2008-06-08,5.068904202
2008-06-09,5.351858133
2008-06-10,6.156978986
2008-06-11,6.156978986
2008-06-12,6.785587645
2008-06-13,6.997595983
2008-06-14,7.01571242
2008-06-15,6.688354714
2008-06-16,6.675823222
2008-06-17,7.045776577
2008-06-18,7.080867897
2008-06-19,7.064759028
2008-06-20,7.137278437
2008-06-21,6.967909202
2008-06-22,6.356107661
2008-06-23,6.386879319
2008-06-24,6.763884909
2008-06-25,6.931471806
2008-06-26,7.19142933
2008-06-27,7.183870715
2008-06-28,7.142036575
2008-06-29,6.246106765
2008-06-30,5.313205979
2008-07-02,6.398594935
2008-07-03,6.363028104
2008-07-04,6.192362489
2008-07-05,5.613128106
2008-07-06,5.433722004
2008-07-07,5.908082938
2008-07-08,5.65248918
2008-07-09,5.556828062
2008-07-10,5.583496309
2008-07-11,5.176149733
2008-07-12,4.890349128
2008-08-01,5.267858159
2008-08-02,5.424950017
2008-08-03,5.955837369
2008-08-04,6.336825731
2008-08-05,6.329720906
2008-08-06,6.255750042
2008-08-07,6.263398263
2008-08-08,6.104793232
2008-08-09,5.765191103
2008-08-10,5.774551546
2008-08-11,6.184148891
2008-08-12,6.251903883
2008-08-13,6.180016654
2008-08-14,6.139884552
2008-08-15,6.059123196
2008-08-16,5.66296048
2008-08-17,5.673323267
2008-08-18,6.104793232
2008-08-19,6.206575927
2008-08-20,6.278521424
2008-08-21,6.309918278
2008-08-22,6.013715156
2008-08-23,6.126869184
2008-08-24,5.902633333
2008-08-25,6.320768294
2008-08-26,6.274762021
2008-08-27,6.413458957
2008-08-28,6.388561406
2008-08-29,6.200509174
2008-08-30,5.598421959
2008-08-31,5.771441123
2008-09-01,6.107022888
2008-09-02,6.410174882
2008-09-03,6.450470422
2008-09-04,6.498282149
2008-09-05,6.345636361
2008-09-06,5.805134969
2008-09-07,5.802118375
2008-09-08,5.771441123
2008-09-09,6.091309882
