Date,Sales
01-01-1992,3846
01-02-1992,3908
01-03-1992,4157
01-04-1992,4141
01-05-1992,4275
01-06-1992,4357
01-07-1992,4407
01-08-1992,4446
01-09-1992,4328
01-10-1992,4497
01-11-1992,4687
01-12-1992,5287
01-01-1993,4104
01-02-1993,3908
01-03-1993,4369
01-04-1993,4372
01-05-1993,4535
01-06-1993,4568
01-07-1993,4682
01-08-1993,4733
01-09-1993,4621
01-10-1993,4775
01-11-1993,5158
01-12-1993,5631
01-01-1994,4018
01-02-1994,4140
01-03-1994,4827
01-04-1994,4700
01-05-1994,4867
01-06-1994,4958
01-07-1994,4980
01-08-1994,5356
01-09-1994,5203
01-10-1994,5328
01-11-1994,5734
01-12-1994,6305
01-01-1995,4649
01-02-1995,4410
01-03-1995,5084
01-04-1995,4818
01-05-1995,5195
01-06-1995,5196
01-07-1995,5190
01-08-1995,5506
01-09-1995,5418
01-10-1995,5505
01-11-1995,6090
01-12-1995,6409
01-01-1996,4788
01-02-1996,4833
01-03-1996,5410
01-04-1996,5310
01-05-1996,5603
01-06-1996,5479
01-07-1996,5673
01-08-1996,5893
01-09-1996,5589
01-10-1996,5970
01-11-1996,6425
01-12-1996,6734
01-01-1997,5311
01-02-1997,5116
01-03-1997,5715
01-04-1997,5670
01-05-1997,6010
01-06-1997,5805
01-07-1997,6027
01-08-1997,6263
01-09-1997,6094
01-10-1997,6369
01-11-1997,6781
01-12-1997,7554
01-01-1998,5822
01-02-1998,5581
01-03-1998,6162
01-04-1998,6038
01-05-1998,6225
01-06-1998,6310
01-07-1998,6466
01-08-1998,6502
01-09-1998,6329
01-10-1998,6693
01-11-1998,7186
01-12-1998,8098
01-01-1999,5922
01-02-1999,5996
01-03-1999,6790
01-04-1999,6481
01-05-1999,6684
01-06-1999,6853
01-07-1999,6961
01-08-1999,7240
01-09-1999,7139
01-10-1999,7339
01-11-1999,8006
01-12-1999,8883
01-01-2000,6638
01-02-2000,6989
01-03-2000,7622
01-04-2000,7134
01-05-2000,7635
01-06-2000,7487
01-07-2000,7508
01-08-2000,7974
01-09-2000,7535
01-10-2000,7667
01-11-2000,8346
01-12-2000,8635
01-01-2001,7050
01-02-2001,6797
01-03-2001,7572
01-04-2001,6940
01-05-2001,7551
01-06-2001,7491
01-07-2001,7456
01-08-2001,7971
01-09-2001,7078
01-10-2001,7603
01-11-2001,8548
01-12-2001,9427
01-01-2002,7149
01-02-2002,7091
01-03-2002,7777
01-04-2002,7370
01-05-2002,7991
01-06-2002,7502
01-07-2002,7671
01-08-2002,8205
01-09-2002,7456
01-10-2002,7859
01-11-2002,8839
01-12-2002,9528
01-01-2003,7190
01-02-2003,6713
01-03-2003,7618
01-04-2003,7374
01-05-2003,8078
01-06-2003,7753
01-07-2003,8074
01-08-2003,8384
01-09-2003,8017
01-10-2003,8351
01-11-2003,9018
01-12-2003,10166
01-01-2004,7651
01-02-2004,7613
01-03-2004,8499
01-04-2004,7991
01-05-2004,8112
01-06-2004,8443
01-07-2004,8895
01-08-2004,8883
01-09-2004,8441
01-10-2004,8718
01-11-2004,9594
01-12-2004,10917
