date,value,nulls
1991-07-01,3.526591,3.526591
1991-08-01,3.180891,3.180891
1991-09-01,3.252221,
1991-10-01,3.611003,3.611003
1991-11-01,3.565869,
1991-12-01,4.306371,4.306371
1992-01-01,5.088335,
1992-02-01,2.81452,2.81452
1992-03-01,2.985811,2.985811
1992-04-01,3.20478,3.20478
1992-05-01,3.127578,3.127578
1992-06-01,3.270523,3.270523
1992-07-01,3.73785082,3.73785082
1992-08-01,3.55877609,3.55877609
1992-09-01,3.77720173,
1992-10-01,3.92449042,
1992-11-01,4.38653092,4.38653092
1992-12-01,5.81054917,5.81054917
1993-01-01,6.19206769,6.19206769
1993-02-01,3.45085699,3.45085699
1993-03-01,3.77230686,3.77230686
1993-04-01,3.7343029,
1993-05-01,3.90539892,3.90539892
1993-06-01,4.04968714,4.04968714
1993-07-01,4.31556552,4.31556552
1993-08-01,4.56218455,4.56218455
1993-09-01,4.60866203,
1993-10-01,4.66785129,4.66785129
1993-11-01,5.09384145,5.09384145
1993-12-01,7.1799622,7.1799622
1994-01-01,6.73147308,6.73147308
1994-02-01,3.84127758,3.84127758
1994-03-01,4.39407557,4.39407557
1994-04-01,4.07534073,4.07534073
1994-05-01,4.5406449,4.5406449
1994-06-01,4.64561508,
1994-07-01,4.75260653,4.75260653
1994-08-01,5.35060467,5.35060467
1994-09-01,5.20445484,5.20445484
1994-10-01,5.3016513,
1994-11-01,5.77374216,
1994-12-01,6.20459348,
1995-01-01,6.74948382,6.74948382
1995-02-01,4.21606735,
1995-03-01,4.94934946,4.94934946
1995-04-01,4.8230449,4.8230449
1995-05-01,5.19475419,
1995-06-01,5.17078711,
1995-07-01,5.25674157,5.25674157
1995-08-01,5.85527729,5.85527729
1995-09-01,5.49072901,5.49072901
1995-10-01,6.11529323,6.11529323
1995-11-01,6.08847284,6.08847284
1995-12-01,7.41659792,
1996-01-01,8.32945212,
1996-02-01,5.06979585,5.06979585
1996-03-01,5.26255667,5.26255667
1996-04-01,5.59712628,5.59712628
1996-05-01,6.110296,6.110296
1996-06-01,5.68916084,5.68916084
1996-07-01,6.48684933,
1996-08-01,6.30056933,
1996-09-01,6.46747574,
1996-10-01,6.82862939,6.82862939
1996-11-01,6.64907826,6.64907826
1996-12-01,8.60693721,8.60693721
1997-01-01,8.52447101,8.52447101
1997-02-01,5.27791837,5.27791837
1997-03-01,5.71430345,5.71430345
1997-04-01,6.21452908,6.21452908
1997-05-01,6.41192919,
1997-06-01,6.66771564,6.66771564
1997-07-01,7.05083102,
1997-08-01,6.70491861,6.70491861
1997-09-01,7.25098761,
1997-10-01,7.81973318,
1997-11-01,7.39810106,
1997-12-01,10.09623339,8.123456
1998-01-01,8.79851303,
1998-02-01,5.91826076,
1998-03-01,6.53449298,
1998-04-01,6.67573561,6.67573561
1998-05-01,7.06420058,7.06420058
1998-06-01,7.38338118,7.38338118
1998-07-01,7.81349587,7.81349587
1998-08-01,7.43189221,
1998-09-01,8.27511722,8.27511722
1998-10-01,8.26044138,8.26044138
1998-11-01,8.59615575,
1998-12-01,10.55893902,10.55893902
1999-01-01,10.3914156,10.3914156
1999-02-01,6.42153456,6.42153456
1999-03-01,8.06261937,8.06261937
1999-04-01,7.2977391,7.2977391
1999-05-01,7.93691594,7.93691594
1999-06-01,8.16532298,8.16532298
1999-07-01,8.71742046,
1999-08-01,9.07096378,9.07096378
1999-09-01,9.17711337,9.17711337
1999-10-01,9.25188674,9.25188674
