Period,Revenue
2000-03-31,1517
2000-06-30,1248
2000-09-30,1677
2000-12-31,1393
2001-03-31,1558
2001-06-30,1368
2001-09-30,1790
2001-12-31,1396
2002-03-31,1638
2002-06-30,1507
2002-09-30,1868
2002-12-31,1510
2003-03-31,1669
2003-06-30,1392
2003-09-30,1853
2003-12-31,1353
2004-03-31,1623
2004-06-30,1401
2004-09-30,1758
2004-12-31,1078
2005-03-31,1674
2005-06-30,1516
2005-09-30,1924
2005-12-31,1522
2006-03-31,2459
2006-06-30,2428
2006-09-30,2949
2006-12-31,2248
2007-03-31,2538
2007-06-30,2400
2007-09-30,2941
2007-12-31,2420
2008-03-31,2621
2008-06-30,2521
2008-09-30,3083
2008-12-31,2574
2009-03-31,2577
2009-06-30,2457
2009-09-30,2888
2009-12-31,2458
2010-03-31,2674
2010-06-30,2917
2010-09-30,3468
2010-12-31,2931
2011-03-31,3273
2011-06-30,3064
2011-09-30,3744
2011-12-31,3241
2012-03-31,3824
2012-06-30,3517
2012-09-30,4173
2012-12-31,3369
2013-03-31,3751
2013-06-30,3383
2013-09-30,3879
2013-12-31,3391
2014-03-31,3480
2014-06-30,3400
2014-09-30,4044
2014-12-31,3610
2015-03-31,4083
2015-06-30,3907
2015-09-30,4758
2015-12-31,4167
2016-03-31,4769
2016-06-30,4199
2016-09-30,5413
2016-12-31,4687
2017-03-31,5671
